2024-09-29T21:22:47.668810+0800 | INFO     | 21600-5100 |connect_mongodb.py:InsertOne:30 - 插入数据的 ID：66f954a7499bf83bb6f419b8
2024-09-29T21:22:47.668810+0800 | INFO     | 21600-5100 |connect_mongodb.py:InsertOne:31 - 插入的数据 ：InsertOneResult(ObjectId('66f954a7499bf83bb6f419b8'), acknowledged=True)
2024-09-29T21:23:43.583510+0800 | INFO     | 34440-37424 |connect_mongodb.py:InsertOne:30 - 插入数据的 ID：66f954dfe2f7833fe024f660
2024-09-29T21:23:43.583510+0800 | INFO     | 34440-37424 |connect_mongodb.py:InsertOne:31 - 插入的数据 ：InsertOneResult(ObjectId('66f954dfe2f7833fe024f660'), acknowledged=True)
2024-09-29T21:35:19.289979+0800 | INFO     | 8348-36608 |connect_mongodb.py:InsertOne:30 - 插入数据的 ID：66f95797c6515e8908c006ea
2024-09-29T21:35:19.289979+0800 | INFO     | 8348-36608 |connect_mongodb.py:InsertOne:31 - 插入的数据 ：InsertOneResult(ObjectId('66f95797c6515e8908c006ea'), acknowledged=True)
2024-09-29T21:35:50.447755+0800 | INFO     | 8348-36608 |connect_mongodb.py:InsertOne:30 - 插入数据的 ID：66f957b6c6515e8908c006eb
2024-09-29T21:35:50.448755+0800 | INFO     | 8348-36608 |connect_mongodb.py:InsertOne:31 - 插入的数据 ：InsertOneResult(ObjectId('66f957b6c6515e8908c006eb'), acknowledged=True)
2024-09-29T21:36:13.136143+0800 | INFO     | 22256-9668 |connect_mongodb.py:InsertOne:30 - 插入数据的 ID：66f957cd2f919962149034b1
2024-09-29T21:36:13.136143+0800 | INFO     | 22256-9668 |connect_mongodb.py:InsertOne:31 - 插入的数据 ：InsertOneResult(ObjectId('66f957cd2f919962149034b1'), acknowledged=True)
2024-09-29T21:41:45.087840+0800 | INFO     | 7772-36840 |connect_mongodb.py:InsertOne:30 - 插入数据的 ID：66f959191cd6d0fec0a66db2
2024-09-29T21:41:45.087840+0800 | INFO     | 7772-36840 |connect_mongodb.py:InsertOne:31 - 插入的数据 ：InsertOneResult(ObjectId('66f959191cd6d0fec0a66db2'), acknowledged=True)
2024-09-29T21:44:59.934947+0800 | INFO     | 21224-7140 |connect_mongodb.py:UpdateByName:55 - 更新文档： UpdateResult({'n': 1, 'nModified': 1, 'ok': 1.0, 'updatedExisting': True}, acknowledged=True)
